id,title,title_yomi,artist_name,artist_yomi,version,special
47,Across the nightmare,ACROSSTHENIGHTMARE,Jimmy Weckl,JIMMYWECKL,GF2&DM1,0
48,Cutie pie,CUTIEPIE,Toshio Sakurai,TOSHIOSAKURAI,GF1,0
49,FIRE,FIRE,泉 陸奥彦,いずみむつひこ,GF1,0
50,Happy man,HAPPYMAN,泉 陸奥彦,いずみむつひこ,GF1,0
51,Heaven is a '57 metallic gray,HEAVENISA57METALLICGRAY,Sweet little 30's,SWEETLITTLE30S,GF2&DM1,0
52,Hypnotica,HYPNOTICA,Naoki Maeda,NAOKIMAEDA,GF1,0
53,I think about you,ITHINKABOUTYOU,Elizabeth Dobbs,ELIZABETHDOBBS,GF2&DM1,0
54,JET WORLD,JETWORLD,泉 陸奥彦,いずみむつひこ,GF2&DM1,0
55,LUCKY? STAFF,LUCKYSTAFF,泉 陸奥彦,いずみむつひこ,GF1,0
56,PRIMAL SOUL,PRIMALSOUL,泉 陸奥彦,いずみむつひこ,GF2&DM1,0
57,Ska Ska No.1,SKASKANO1,小野秀幸,おのひでゆき,GF2&DM1,0
59,BREAK OUT,BREAKOUT,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,GF3&DM2,0
60,CLASSIC PARTY,CLASSICPARTY,小野秀幸,おのひでゆき,GF3&DM2,0
61,COSMIC COWGIRL,COSMICCOWGIRL,Toshio Sakurai,TOSHIOSAKURAI,GF3&DM2,0
62,LOUD!,LOUD,泉 陸奥彦,いずみむつひこ,GF3&DM2,0
63,MIDNIGHT SPECIAL,MIDNIGHTSPECIAL,Love machineguns,LOVEMACHINEGUNS,GF3&DM2,0
64,P.P.R.,PPR,Handsome JET,HANDSOMEJET,GF3&DM2,0
65,SAY WHAT YOU MEAN,SAYWHATYOUMEAN,Monaural Heads*1,MONAURALHEADS1,GF3&DM2,0
66,STOP SPINNING ME IN CIRCLES,STOPSPINNINGMEINCIRCLES,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,GF3&DM2,0
68,CAPTAIN'S VOYAGE,CAPTAINSVOYAGE,古川もとあき,ふるかわもとあき,GF4&DM3,0
69,CARNIVAL DAY,CARNIVALDAY,Paula Terry & Fu Fu's,PAULATERRYFUFUS,GF4&DM3,0
70,CLASSIC PARTY 2,CLASSICPARTY2,小野秀幸,おのひでゆき,GF4&DM3,0
71,DAY DREAM,DAYDREAM,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF4&DM3,0
72,GIANT SLUG,GIANTSLUG,Aaron G,AARONG,GF4&DM3,0
73,I'M GONNA GET YOU!,IMGONNAGETYOU,Kelly Cosmo,KELLYCOSMO,GF4&DM3,0
74,RIGHT ON TIME,RIGHTONTIME,Robbie Danzie,ROBBIEDANZIE,GF4&DM3,0
75,SEA ANEMONES,SEAANEMONES,Jimmy Weckl,JIMMYWECKL,GF4&DM3,0
77,CASSANDRA,CASSANDRA,亜熱帯マジ-SKA爆弾,あねったいまじSKAばくだん,GF5&DM4,0
78,CLASSIC PARTY 3,CLASSICPARTY3,小野秀幸,おのひでゆき,GF5&DM4,0
79,FIRE IN THE DARK,FIREINTHEDARK,Kevin Vecchione,KEVINVECCHIONE,GF5&DM4,0
80,THREE WORMS,THREEWORMS,Jimmy Weckl,JIMMYWECKL,GF5&DM4,0
81,"TIGER, TOO",TIGERTOO,Stephen Mcknight,STEPHENMCKNIGHT,GF5&DM4,0
82,The Least 100sec,THELEAST100SEC,佐々木博史,ささきひろし,GF5&DM4,0
83,VOIDDD,VOIDDD,Des-ROW feat.Kevin Vecchione,DESROWFEATKEVINVECCHIONE,GF5&DM4,0
84,ありがとね。,ありがとね,MAKI,MAKI,GF5&DM4,0
86,BLIND,BLIND,有待雅彦,ありまちまさひこ,GF6&DM5,0
87,BOBBY SUE AND SKINNY JIM,BOBBYSUEANDSKINNYJIM,Raj Ramayya,RAJRAMAYYA,GF6&DM5,0
88,Brazilian Anthem,BRAZILIANANTHEM,Berimbau '66,BERIMBAU66,GF6&DM5,0
89,E-MAIL ME!,EMAILME,Paula Terry,PAULATERRY,GF6&DM5,0
90,FEEL THE EARTH,FEELTHEEARTH,古川もとあき,ふるかわもとあき,GF6&DM5,0
91,FIREBALL,FIREBALL,Sweet little 30's,SWEETLITTLE30S,GF6&DM5,0
92,Herring roe,HERRINGROE,Jimmy Weckl,JIMMYWECKL,GF6&DM5,0
93,MIDNIGHT SUN,MIDNIGHTSUN,泉 陸奥彦,いずみむつひこ,GF6&DM5,0
94,STOP THIS TRAIN,STOPTHISTRAIN,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,GF6&DM5,0
95,Sunflower Girl,SUNFLOWERGIRL,SHORTCUTS,SHORTCUTS,GF6&DM5,0
96,Yellow Panic Time,YELLOWPANICTIME,肥塚良彦,こえづかよしひこ,GF6&DM5,0
97,hypnotheque,HYPNOTHEQUE,NM,NM,GF6&DM5,0
98,plastic imitations,PLASTICIMITATIONS,Kevin Vecchione,KEVINVECCHIONE,GF6&DM5,0
99,君のとなりに・・・,きみのとなりに,Handsome JET Project,HANDSOMEJETPROJECT,GF6&DM5,0
100,子供の落書き帳,こどものらくがきちょう,佐々木博史,ささきひろし,GF6&DM5,0
101,正論,せいろん,鈴木愛,すずきあい,GF6&DM5,0
103,Concertino in Blue,CONCERTINOINBLUE,佐々木博史,ささきひろし,GF7&DM6,0
104,Destiny lovers,DESTINYLOVERS,くにたけ みゆき,くにたけみゆき,GF7&DM6,0
105,GETAWAY,GETAWAY,浦田隆志・平田久美子,うらたたかしひらたくみこ,GF7&DM6,0
106,MODEL DD2,MODELDD2,Mutsuhiko Izumi,MUTSUHIKOIZUMI,GF7&DM6,0
107,Moonlight Walkin',MOONLIGHTWALKIN,入尾信充 with Yah Yah's,いりおのぶみつWITHYAHYAHS,GF7&DM6,0
108,O JIYA,OJIYA,ASMAT & emi,ASMATEMI,GF7&DM6,0
109,One Phrase Blues,ONEPHRASEBLUES,小野秀幸,おのひでゆき,GF7&DM6,0
110,ROCKIN' PARADISE,ROCKINPARADISE,Thomas Howard Lichtenstein,THOMASHOWARDLICHTENSTEIN,GF7&DM6,0
111,Rebirth,REBIRTH,MAKI,MAKI,GF7&DM6,0
112,SMILE FOR YOU,SMILEFORYOU,古川もとあき,ふるかわもとあき,GF7&DM6,0
113,WILD RIDE,WILDRIDE,中村康三,なかむらこうぞう,GF7&DM6,0
114,innocent world,INNOCENTWORLD,,,"GF7&DM6,有名楽曲",0
115,jet coaster☆girl,JETCOASTERGIRL,TOMOSUKE feat. Three Berry Icecream,TOMOSUKEFEATTHREEBERRYICECREAM,GF7&DM6,0
